Category,Name,Final_price,Regular_price,Discount_percent,Installment,Cross_border,Sponsor,Reviews,Rating,Rating_by_stars,Url,Image_url
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Lenovo Legion Y540-15IRH 81SY0037VN Core i5-9300H/ GTX 1650 4GB/ Dos (15.6 FHD IPS) - Hàng Chính Hãng,19469000,23990000,19,YES,NO,NO,10,84,4.2,https://tiki.vn/laptop-lenovo-legion-y540-15irh-81sy0037vn-core-i5-9300h-gtx-1650-4gb-dos-15-6-fhd-ips-hang-chinh-hang-p21922156.html?spid=21922157&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/05/0b/13/fdcb5f5c9fd88b5c03d6d41e2e26b87e.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Dell Inspiron 5593 7WGNV1 Core i5-1035G1/ Win10 (15.6 FHD) - Hàng Chính Hãng,16669000,19990000,17,YES,NO,NO,4,76,3.8,https://tiki.vn/laptop-dell-inspiron-5593-7wgnv1-core-i5-1035g1-win10-15-6-fhd-hang-chinh-hang-p39992118.html?spid=39992119&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/ff/78/cd/3c908fbd3e07b2542f2a355109e3c278.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop HP Pavilion 15-cs3012TU 8QP30PA (Core i5-1035G1/ 8GB DDR4 2666MHz/ 512GB PCIe NVMe/ 15.6 FHD IPS/ Win10) - Hàng Chính Hãng,16149000,17490000,8,YES,NO,NO,7,80,4.0,https://tiki.vn/laptop-hp-pavilion-15-cs3012tu-8qp30pa-core-i5-1035g1-8gb-ddr4-2666mhz-512gb-pcie-nvme-15-6-fhd-ips-win10-hang-chinh-hang-p45160247.html?spid=45160248&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/96/9a/25/d7268497f0b1dc626a0c89301e5d8f67.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Lenovo ThinkPad E14 20RAS0KX00 (Core i5-10210U/ 8GB DDR4 2666MHz/ 256GB M.2 2242 PCIe NVMe/ 14 FHD IPS/ DOS) - Hàng Chính Hãng,15889000,17490000,9,YES,NO,NO,3,100,5.0,https://tiki.vn/laptop-lenovo-thinkpad-e14-20ras0kx00-core-i5-10210u-8gb-ddr4-2666mhz-256gb-m-2-2242-pcie-nvme-14-fhd-ips-dos-hang-chinh-hang-p53840157.html?spid=53840158&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/7d/ac/5a/31ba946d30358ab6aa0872d8aabb3c63.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Asus Vivobook X509MA-BR060T (Pen N5000/ 4G/ 256Gb SSD/ 15.6 HD/ Win 10) - Hàng Chính Hãng,7799000,8490000,8,YES,NO,NO,0,0,0.0,https://tiki.vn/laptop-asus-vivobook-x509ma-br060t-pen-n5000-4g-256gb-ssd-15-6-hd-win-10-hang-chinh-hang-p53788944.html?spid=53788945&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/89/ba/fe/c8b0ed91256afb7f3a501473a83654e4.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Asus Vivobook A412DA-EK144T AMD R5-3500U/ Win10 (14 FHD) - Hàng Chính Hãng,13449000,14490000,7,YES,NO,NO,5,76,3.8,https://tiki.vn/laptop-asus-vivobook-a412da-ek144t-amd-r5-3500u-win10-14-fhd-hang-chinh-hang-p32340626.html?spid=32340627&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/6e/34/e7/1e99f0deb86e91c325c0850add06545b.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Microsoft Surface Laptop 3 (Core i5-1035G7/13,23490000,29990000,22,NO,NO,NO,2,80,4.0,https://tiki.vn/microsoft-surface-laptop-3-core-i5-1035g7-13-hang-nhap-khau-p49206793.html?spid=51090770&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/4d/ef/e4/14b4abb6894d99b5953ec1a1b3cd4eb8.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Macbook,Apple Macbook Air 2020 - 13 Inchs (i5-10th/ 8GB/ 512GB) - Hàng Nhập Khẩu Chính Hãng,32999000,39990000,17,YES,NO,NO,0,0,0.0,https://tiki.vn/apple-macbook-air-2020-13-inchs-i5-10th-8gb-512gb-hang-nhap-khau-chinh-hang-p52213707.html?spid=52213709&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/e9/e5/a2/4bfa30350722ae2315c2fbea7bb9e1fb.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Asus Vivobook X509FJ-EJ053T Core i5-8265U/ MX230 2GB/ Win10 (15.6 FHD) - Hàng Chính Hãng,12409000,14990000,17,YES,NO,NO,5,92,4.6,https://tiki.vn/laptop-asus-vivobook-x509fj-ej053t-core-i5-8265u-mx230-2gb-win10-15-6-fhd-hang-chinh-hang-p22615306.html?spid=22615307&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/9a/d4/0a/5a56bcb447297643327693af076f5b6a.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Gaming,Laptop ASUS TUF Gaming FX705DT-H7138T (AMD R7-3750H/ 8GB DDR4 2666MHz/ 512GB SSD M.2 PCIE/ GTX 1650 4GB/ 17.3 FHD IPS 120Hz/ Win10) - Hàng Chính Hãng,19889000,23990000,17,YES,NO,NO,0,0,0.0,https://tiki.vn/laptop-asus-tuf-gaming-fx705dt-h7138t-amd-r7-3750h-8gb-ddr4-2666mhz-512gb-ssd-m-2-pcie-gtx-1650-4gb-17-3-fhd-ips-120hz-win10-hang-chinh-hang-p42873395.html?spid=42873396&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/8b/44/32/52e223824f2982dcf571ee741c0668de.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,"Laptop Asus ROG Zephyrus G14 GA401II-HE155T (AMD R7-4800HS/ 16GB DDR4 3200MHz/ 512GB SSD PCIE G3X4/ GTX 1650Ti 4GB GDDR6/ 14 FHD IPS, 120Hz/ Win10) - Hàng Chính Hãng",33419000,34990000,4,YES,NO,NO,0,0,0.0,https://tiki.vn/laptop-asus-rog-zephyrus-g14-ga401ii-he155t-amd-r7-4800hs-16gb-ddr4-3200mhz-512gb-ssd-pcie-g3x4-gtx-1650ti-4gb-gddr6-14-fhd-ips-120hz-win10-hang-chinh-hang-p57652427.html?spid=57652428&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/34/4e/94/bb1686f5776d5f692a2ff7e6c7159b87.jpg
